S.No.,Section,Field Name,Data Type,Logic,Value,,
,Project details,Project,Optionset,User to see only the projects mapped to team.,,,
,Project details,Vertical Name,Optionset,User to see only the verticals mapped to team.,,,
,Project details,Budget Head,Optionset,L2 from. Vertical Name,,,
,Vendor Details,….,,Check Vendor Details Tab,"Repeated 3 times for Vendor 1,2,3",,
,Vendor Preference,Preferred Vendor,Optionset,,"Vendor1, Vendor 2, Vendor 3",,
,Vendor Preference,Reason,string,,,,
,,,,,,,
,"For Each  Vertical Name and Budget Head, the vendor details are displayed in the next tab (Vendor Details Tab)",,,,,,
